Durationinseconds,ResponseId,Age,Gender,HL,Race,Race_5_TEXT,Education,Income,BER_P,BER_N,StressorDesc,PSE_P,PSE_N,A1,A2,A3,A4,A5,A6,A1_P,A1_N,A2_P,A2_N,A3_P,A3_N,A4_P,A4_N,A5_P,A5_N,A6_P,A6_N,PRE_P,PRE_N,DES_1NPS,DES_2NPS,DES_3NPS,DES_4CPN,DES_5PNS,DES_6CPN,DES_7CPN,DES_8PNS,DES_9PNS,DES_10CPN,DES_11PNS,ValuingHS_1,ValuingHS_2,ValuingHS_3,ValuingHS_4,ValuingHS_5,ValuingHS_6,ValuingHS_7,EgoRS_1,EgoRS_2,EgoRS_3,EgoRS_4,EgoRS_5,EgoRS_6,EgoRS_7,EgoRS_8,EgoRS_9,EgoRS_10,EgoRS_11,EgoRS_12,EgoRS_13,EgoRS_14,OPTIMISM_1,OPTIMISM_2,OPTIMISM_3,OPTIMISM_4,OPTIMISM_5,OPTIMISM_6,OPTIMISM_7,OPTIMISM_8,OPTIMISM_9,OPTIMISM_10,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_7,PS_8,PR_1,PR_2,EXTRAVERSION_1,EXTRAVERSION_2,EXTRAVERSION_3,EXTRAVERSION_4,EXTRAVERSION_5,EXTRAVERSION_6,EXTRAVERSION_7,EXTRAVERSION_8,EXTRAVERSION_9,EXTRAVERSION_10,EXTRAVERSION_11,EXTRAVERSION_12,TMES_1ME,TMES_2ME,TMES_3ME,TMES_4ME,TMES_5ME,TMES_6ME,TMES_7ME,TMES_8ME,TMES_9ME,TMES_10ME,TMES_11ME,TMES_12ME,TMES_13ME,TMES_14P,TMES_15P,TMES_16P,TMES_17P,TMES_18P,TMES_19N,TMES_20N,TMES_21N,TMES_22N,TMES_23N,TMES_24NEUT,TMES_25NEUT,PROLIFIC_PID,A1Positive,A2Positive,A3Positive,A4Positive,A5Positive,A6Positive,A1Negative,A2Negative,A3Negative,A4Negative,A5Negative,A6negative,A1_M,A2_M,A3_M,A4_M,A5_M,A6_M,Optimism,Extraversion,TotalP,TotalN,TotalM,Resilience,Positivity,DES_NPS,DES_CPN,DES_PNS,TMES_ME,TMES_P,TMES_N,TMES_NEUT,ValuingHappiness,PositiveReappraisal
961,R_3hfGVKAuR3xcXCA,26,2,2,1, ,1,4,7,3,Having to deal with the pandemic easing and the potential of having to return to the office full time. This is stressful as I am more anxious and distracted in office situations and am much more productive at home in a comfortable space. In addition even though vaccinations are more and more common the risk of spreading illness is still there,6,3,I am worried about the future at my workplace,I am anxious about having to look for another job,I am hopeful that my department will not need to go with management's recommendations for returning to work,I am happy that I have discovered what works best for me for work no matter how it impacts the future,I would be sad to stop working with friends if I left the company,I am annoyed that the company places such high emphasis on working on location when it's proven to be just as much if not more profitable to let employees work from home.,0,7,4,7,7,3,8,1,0,5,0,7,6,2,7,7,7,7,7,7,7,7,6,7,7,4,3,2,5,3,6,3,4,3,3,2,3,1,4,2,2,3,4,2,3,3,5,3,2,4,5,2,2,3,3,4,6,7,6,3,5,5,6,5,4,4,4,3,5,2,2,3,2,2,3,4,2,3,5,2,4,3,5,3,4,2,3,4,4,4,3,3,4,4,4,3,2,3,4,2,3,3,2,610c4680d21b974259c3c24f,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,20,35,2,3,0,39,43,21,28,27,46,18,14,5,26,8
616,R_3F3WUIB8BRtF3Cy,32,2,2,1, ,2,1,5,3,"Covid has changed the very fabric of my life. Before covid, dating and travel was such a constant for me and now it instills fear in me.",3,6,I am scared of traveling again,I am nervous about finding someone to date in a pandemic world,I am scared of getting covid,Im frustrated with how many extra things I have to worry about now,I feel hopeless about this situation changing much.,I'm tired of living in a pandemic world,5,5,2,7,0,8,0,9,0,8,2,6,2,6,6,6,6,6,6,6,6,6,6,6,6,4,2,1,5,5,2,3,3,2,3,3,3,2,4,4,3,3,4,4,4,3,2,2,1,2,3,4,0,2,1,2,3,2,5,3,6,5,5,5,4,4,4,3,4,2,4,1,3,4,1,4,5,5,4,2,3,3,4,3,3,4,5,4,3,4,2,2,4,3,3,4,3,3,4,2,2,4,5,5b1e20f244127b00013ffe4e,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,8,40,0,5,0,45,34,18,24,24,44,16,14,9,22,8
888,R_3D88wNDebigh02u,34,2,2,1, ,3,2,8,2,"I currently live with someone who is highly immunocompromised. I have taken all precautions throughout the pandemic to keep this person safe. I have all of my vaccinations and wear masks when out. But now, as the pandemic is finally becoming less of a concern and mandates are being lifted, I want to ease up on my mask-wearing. The person I live with still wants to wear masks and prefers if I do so as well. The dilemma I have is whether to continue to do what this person wants or is it okay to do what I think is best for myself.",8,2,I am excited to get back to normalcy.,I am worried I will hurt this person's feelings.,I would like to make my own decisions.,I still want to respect the person I live with.,I hope I do not get this person sick.,It will be nice to have some freedom again.,9,1,5,3,8,1,9,2,8,2,9,1,8,2,6,6,6,6,5,6,6,5,5,6,5,5,2,4,6,6,5,5,4,3,1,2,3,3,3,3,3,2,3,2,3,3,4,4,0,2,4,4,2,4,2,3,3,5,2,2,2,5,5,3,3,3,2,2,4,2,2,2,2,2,4,2,2,4,4,2,4,4,3,4,3,2,3,3,4,4,3,2,3,4,4,3,2,2,3,2,4,4,2,60fdafca5fae411bbb573d4a,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,30,5,0,0,38,27,18,24,20,43,16,13,6,33,6
1654,R_32XbWnQt0CYYnNj,38,1,2,1, ,3,6,8,1,"Recently, even though Covid levels are decreasing significantly in my area, I have not been comfortable spending time with some friends and family members because they have refused to get vaccinated.  I have stayed away not out of concern for myself, but out of concern for their continued health.  This is impacting me because it is causing me to worry about them, and also to regret that I am missing time with them.  I often feel frustrated because I can't seem to convince them of the value of vaccination, and because with so many people still not vaccinated, I believe we will continue to see more waves of Covid and more needless suffering.",7,2,I'm feeling significant anxiety when I think about the long term health of the people in my life who are not vaccinated.,I worry that I am loosing time with some people that I will never get back.,"I'm concerned that because many people won't get vaccomated, we will never see a true return to normal","I'm concerned about the long-term effects of Covid on both my local, and the national economy.","I'm worried that continued covid issues being caused by unvaccinated citizens will impact my ability to travel, and travel is something that I love.","I'm glad that Covid case counts are declining, but I'm concerned this won't last.",1,7,0,10,2,8,0,5,0,5,9,3,7,2,5,6,6,7,7,6,6,7,7,7,6,5,2,5,6,7,2,6,4,3,4,4,4,3,3,4,3,4,4,3,3,2,4,3,1,4,5,4,3,3,3,5,5,6,6,1,7,6,7,7,3,4,5,5,4,3,5,2,2,5,4,5,4,5,4,3,2,3,4,3,3,3,5,4,5,5,3,4,4,5,4,4,2,3,3,2,4,3,2,5c11f3face422b0001d69416,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,20,49,1,3,0,48,45,17,26,27,47,21,14,5,33,7
1491,R_2OP9BKfCGZ7qjPG,55,2,2,1, ,1,1,3,5,Since COVID I have been homeless. I stayed with a friend for several months but it became a nightmare. Now I am staying with my niece and her family but I can only stay for up to a year at the most. I'm on a waiting list for housing in another state but am afraid I will not have housing before my niece needs me to leave. I feel abandoned and unwanted. And I'm afraid her husband and kids dislike me.,2,7,Homeless,No money,No medical insurance,Out of medicine,Physical and mental health disabilities,Anxious and depressed,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,6,6,7,6,7,6,6,6,6,6,2,3,2,7,5,3,3,2,1,1,2,2,1,2,1,3,3,2,2,2,2,3,2,0,1,4,2,0,2,5,2,4,3,1,2,1,2,5,2,4,2,1,1,2,1,1,1,1,1,1,3,2,3,3,2,3,3,4,3,3,3,3,3,4,4,4,3,3,2,3,2,3,5,5,4,3,4,5,5d5337be36ced4000188f336,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,11,18,0,6,0,26,20,19,26,24,42,13,20,9,25,6
505,R_3iNXMBsHOUGvIQu,20,2,2,"1,4", ,1,1,7,2,COVID 19 does worry me and stress me out because I'm in a university dorm setting. I will also be working with a bunch of little children at a daycare this summer and I am worried that I will get COVID again.,5,4,"I am excited for my summer job, but COVID could spread easily.",COVID could make my college do online classes instead of ins person and that would benefit me.,COVID gives me an excuse to stay inside.,COVID lets me work from home.,COVID is negatively effecting my social anxiety by increasing it.,COVID fear allows me to not go outside and not have social anxiety.,6,9,9,1,9,0,10,1,1,8,9,1,7,3,6,6,6,6,7,7,7,7,7,7,7,7,7,6,5,7,7,7,4,2,1,3,3,2,2,2,2,4,2,2,2,3,3,3,1,5,5,4,2,2,2,4,7,7,7,3,4,7,5,5,2,2,2,2,4,2,1,2,2,3,3,3,1,4,5,2,3,5,5,5,2,3,4,4,4,5,4,3,4,4,4,3,3,3,5,3,3,4,4,60ff8047363582fe6e0f6229,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,17,29,4,1,1,34,45,18,27,28,51,18,17,8,46,4
549,R_1LqG5Qz0jHO52Ud,20,2,2,1, ,1,9,6,3,I had to do my clinical hours for nursing in the hospital a few weeks ago. We had a patient who was being tested for COVID due to symptoms.,6,3,I was scared of getting COVID.,I was very cautious to go into that patient's room.,I was thinking about what would happen if I got covid.,I hoped the patient would not have COVID.,I was nervous to be around the nurses that had been in his room.,I felt bad that the patient could not have visitors come see him until he got tested.,3,6,1,5,0,8,7,0,1,6,0,9,6,3,7,6,6,7,6,7,7,6,6,7,6,5,6,4,7,5,6,5,3,3,2,3,3,2,1,2,2,3,2,1,1,2,1,2,5,4,4,3,5,2,0,2,3,5,4,3,3,6,5,4,2,2,1,2,4,1,2,4,1,2,2,1,2,3,4,2,4,4,5,4,4,2,2,3,5,5,5,2,2,3,3,2,2,4,5,3,4,4,3,6102e3fe23bf3b7dee6cb89c,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,17,25,1,4,0,30,33,19,28,24,49,12,18,7,38,4
674,R_2c17zMQ9G0m9h2S,22,2,2,1, ,1,4,8,0,"One recent Covid situation that I have been experiencing recently is the end of mask mandates around not only my city and state but also the country in general. People are no longer wearing masks, and it seems like a good thing but many people are still not vaccinated so I don’t really know how to feel about it.",8,1,I am vaccinated,I wear my mask,Mask mandates are lifting,People didn’t wear them much to begin with,Hardly anyone is vaccinated or is wearing masks,I’m nervous; this is either going away soon or here to stay,10,0,10,0,0,10,3,10,0,10,7,2,8,2,7,7,7,7,7,7,7,7,7,7,7,1,1,1,4,5,3,5,4,3,3,3,4,3,3,3,3,3,4,4,4,3,4,4,2,4,4,4,2,2,2,4,6,6,6,4,7,7,7,7,4,4,5,5,5,4,4,4,2,4,4,5,3,5,4,2,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,2,2,3,2,3,3,3,61088a6f0372d8a146faa96b,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,18,50,3,3,0,47,50,21,28,28,40,20,12,6,20,8
522,R_eh5DbO0jnEwtGCZ,21,2,2,1, ,2,1,7,2,My college is currently in an awkward state of not fully enforcing masks on campus. Some buildings require them while others don't and its become difficult to tell when people should actually be wearing them.,7,2,I am sick of hearing about COVID,I am annoyed with people not following the mask mandate,I wish my college would make a decision on what to enforce with the masks on campus,I am worried about how much longer COVID will be an issue,I am worried some people aren't taking the pandemic seriously,I am hopeful we are nearing the end of COVID,0,9,1,8,3,4,2,8,1,8,8,1,6,3,6,6,6,7,7,7,7,7,6,7,7,3,3,2,5,6,3,5,3,3,2,3,3,2,2,2,3,4,3,3,2,3,3,4,2,3,5,4,1,2,2,4,6,6,6,3,6,6,6,6,2,3,4,2,5,2,2,4,1,2,4,4,2,4,4,2,3,3,2,3,2,3,3,3,4,3,3,3,4,4,4,4,3,3,3,2,3,4,3,60fdd0bba532df1a71c72c5e,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,15,36,1,4,0,38,45,18,28,27,38,19,14,7,27,5
490,R_3IY6ecuriljgxEZ,26,2,2,1, ,2,1,7,1,"My roommate has been feeling under the weather the past few days, and we are waiting on rapid tests to arrive so she can see if she has Covid. In the meantime we've been masking in our house and using the kitchen at different times.",4,3,I'm worried for my roommate.,I'm considering what will happen if I also get Covid.,It's been more difficult to do daily tasks like eat and shower.,I'm spending more time alone in my room than in the common area.,I've had trouble staying asleep each night.,I've been spending more time online trying to connect digitally with friends.,0,4,0,7,0,2,1,3,0,5,5,1,1,5,7,7,7,7,5,7,7,5,5,7,5,2,1,1,5,5,6,3,4,2,2,3,3,3,4,2,3,1,4,2,2,3,2,3,1,2,5,2,0,5,0,2,3,5,2,1,3,4,3,1,2,2,4,2,5,3,1,4,2,3,3,4,4,4,4,2,4,5,4,4,4,5,1,2,5,5,5,2,3,3,3,2,3,3,4,3,5,4,3,6046c98087d81c1358466ca0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,39,0,1,0,38,22,21,28,20,50,13,18,7,23,4
654,R_2sdQ6Ar8XVNAyvp,33,1,2,1, ,4,9,5,5,I have a hybrid work schedule limiting my time around others. However we do not take much more precautions as a family,5,5,I’m enjoying the work from home,I’m concerned my daughters are too young for vacine,I’m still happy to go out with friends,I’m paranoid every cough is something more,I’m tired,I’m hungry,10,0,0,6,7,0,0,6,0,4,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,5,4,2,5,4,3,2,2,3,4,4,4,2,3,3,3,4,4,3,3,2,3,2,1,3,4,4,2,3,1,3,5,6,6,3,5,5,6,6,3,4,4,3,4,4,3,4,2,4,3,3,2,4,4,2,2,2,2,3,3,2,2,2,3,3,2,2,3,3,3,2,2,2,3,2,2,3,2,6010f9387969064a53ea6b69,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,13,40,2,2,0,44,42,17,24,24,32,13,11,5,25,7
404,R_2Y52GiPhGh9vB0a,36,2,2,1, ,3,6,4,6,"One COVID situation I experienced recently was when my nephew had tested positive for COVID. I was supposed to go on a trip with my sister and my mom literally the next day, so it was chaotic trying to find tests, see who was positive and negative, and figure out what we were doing for the trip.",4,6,Worried about finding tests,Anxious about my nephew's health,Concerned for my sister and my niece and nephew,Freaking out about trip plans,Disappointed we might not go,Worried about putting everything together.,0,7,0,8,0,8,0,8,0,8,0,7,4,6,6,6,6,7,6,7,7,6,6,6,6,2,2,2,5,5,3,2,4,3,2,3,4,4,3,3,2,2,3,2,3,2,3,3,2,2,5,4,2,3,2,4,3,6,5,3,3,3,5,5,2,2,4,4,4,4,2,3,2,4,4,4,2,4,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,3,3,3,2,3,2,3,3,2,5e402dcd7b260d000a7b69fe,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,15,41,0,6,0,40,33,18,27,24,41,16,13,5,21,4
668,R_xmwWhKatPDYu50J,23,2,2,1, ,1,9,4,5,"I feel lucky that I can still be covered by my parent's health insurance but I am afraid because when the time comes when I can't, I'm terrified something bad will happen that I wouldn't be able to financially recover from. During the peak of the COVID outbreak I feel like I saw so much of this kind of financial devastation and it put a lot of fear into my idea of the future.",4,6,I am nervous about loved ones getting sick and passing away,I got used to isolation in a probably mentally unhealthy way,I miss not being afraid of strangers,I feel closer to my family,I learned to love virtual learning,My personal style has become way more casual and comfortable,0,10,8,8,0,10,9,2,8,3,5,6,4,6,6,6,7,7,6,7,7,5,7,7,6,6,6,5,7,7,7,6,3,2,1,3,1,1,1,1,3,4,1,2,2,2,2,4,1,2,3,4,1,2,2,4,3,7,3,2,2,4,5,2,3,2,2,1,2,2,3,1,2,4,1,2,3,4,3,2,4,3,4,4,4,4,5,5,5,5,4,3,2,4,2,2,5,4,5,3,3,4,2,6112e089d32fac6df48bcdef,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,12,27,2,3,1,27,28,19,28,24,52,13,20,6,44,5
607,R_1irJHyIPIYJUTr3,24,1,2,1, ,1,1,4,5,it has been sort of difficult to see my friends as much as i would like to during the pandemic because of social distancing and wanting to remain safe,4,4,i want to see my friends more often,i havent been able to see them much lately,we used to hang out frequently,my mental state is suffering from not being around the people i value,i fear i am drifting away from them permanently,i feel anxious about the future and whether or not things will return to normal,8,4,0,10,10,1,1,9,0,8,2,6,3,5,6,6,6,6,6,7,7,6,6,7,6,2,3,2,5,6,3,6,4,4,1,4,2,1,1,4,4,4,1,1,3,4,2,3,0,2,4,3,0,5,0,3,2,5,2,1,1,2,2,2,3,3,4,5,2,3,5,1,2,4,3,5,5,2,3,3,3,3,4,3,3,2,3,3,3,3,3,2,2,3,2,3,3,3,4,3,3,4,2,5cda5364bfc8710001838a84,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,7,41,2,4,0,38,17,18,27,24,39,12,16,6,27,6
